Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
MARUTI,EQ,6705.5,6714.8,6714.95,6631.1,6656.0,6644.0,6660.28,370021,246444263060000.0,33758,157112,0.42460000000000003
MARUTI,EQ,6644.0,6662.0,6686.95,6626.0,6632.0,6639.8,6648.03,372533,247660889169999.97,45343,186615,0.5009
MARUTI,EQ,6639.8,6625.55,6676.4,6602.0,6649.0,6654.15,6648.45,337498,224383875385000.0,28278,168055,0.4979
MARUTI,EQ,6654.15,6688.0,6703.65,6612.55,6626.0,6630.55,6661.82,208481,138886224140000.02,26270,90691,0.435
MARUTI,EQ,6630.55,6666.0,6666.0,6615.0,6632.0,6629.3,6639.94,215203,142893494735000.0,31420,117456,0.5458
MARUTI,EQ,6629.3,6645.0,6754.0,6635.9,6746.8,6737.75,6705.54,295859,198389289310000.0,34189,141822,0.4794
MARUTI,EQ,6737.75,6749.0,6789.4,6711.1,6755.0,6762.5,6757.96,259056,175068923900000.0,34610,98498,0.38020000000000004
MARUTI,EQ,6762.5,6798.0,6798.0,6691.0,6727.0,6730.2,6727.51,256491,172554514375000.0,27117,116411,0.4539
MARUTI,EQ,6730.2,6759.4,6839.1,6733.45,6824.0,6823.9,6796.84,336356,228615783790000.0,31377,154743,0.4601
MARUTI,EQ,6823.9,6850.0,6977.55,6830.0,6968.4,6953.95,6902.22,707624,488417380035000.06,49047,360641,0.5097
MARUTI,EQ,6953.95,6950.0,6979.0,6885.85,6945.0,6958.2,6931.6,445461,308775753530000.0,65280,260033,0.5837
MARUTI,EQ,6958.2,6918.3,6948.0,6814.45,6822.0,6831.05,6869.68,406814,279468394535000.0,37063,188907,0.4644
MARUTI,EQ,6831.05,6854.8,6893.9,6691.55,6756.3,6790.55,6791.6,552223,375047503730000.0,64293,234662,0.42490000000000006
MARUTI,EQ,6790.55,6803.95,6843.95,6689.25,6694.3,6701.7,6732.22,327493,220475598294999.97,36146,158645,0.4844
MARUTI,EQ,6701.7,6765.0,6910.0,6743.65,6867.95,6878.85,6855.36,956457,655686038715000.0,98981,414258,0.43310000000000004
MARUTI,EQ,6878.85,6903.0,6912.55,6813.0,6865.0,6869.65,6863.75,433647,297644446450000.0,48950,191595,0.4418
MARUTI,EQ,6869.65,6879.95,7018.0,6835.0,6970.0,6985.7,6916.65,435721,301372980595000.0,44648,177404,0.4072
MARUTI,EQ,6985.7,6971.15,7085.05,6936.2,7068.05,7064.8,7049.7,373937,263614437394999.97,30388,92677,0.24780000000000002
MARUTI,EQ,7064.8,7050.0,7197.8,7025.55,7144.0,7134.45,7130.02,427378,304721505600000.0,46353,131172,0.3069
MARUTI,EQ,7134.45,7134.45,7206.6,7084.15,7138.05,7147.5,7136.66,403698,288105438805000.0,34630,166452,0.4123
MARUTI,EQ,7147.5,7138.0,7248.0,7134.95,7219.75,7211.0,7211.55,650259,468937553875000.0,69023,355423,0.5466
MARUTI,EQ,7211.0,7242.0,7245.0,7110.1,7150.0,7146.6,7165.03,649217,465166071439999.94,74481,276770,0.4263
MARUTI,EQ,7146.6,7182.0,7187.7,7100.0,7110.6,7114.7,7135.0,310268,221376158919999.97,33719,153510,0.49479999999999996
MARUTI,EQ,7114.7,7139.8,7161.9,7091.1,7116.05,7125.7,7126.86,296147,211059911605000.0,31551,137016,0.46270000000000006
MARUTI,EQ,7125.7,7134.0,7154.3,7085.05,7118.95,7112.1,7110.16,324579,230780956265000.0,45217,197591,0.6088
MARUTI,EQ,7112.1,7135.0,7225.0,7107.6,7198.0,7205.7,7189.75,518152,372538078955000.0,44672,192737,0.37200000000000005
MARUTI,EQ,7205.7,7199.0,7274.95,7198.0,7260.0,7249.5,7231.51,426525,308441977625000.0,56722,229606,0.5383
MARUTI,EQ,7249.5,7271.0,7480.9,7230.0,7474.9,7464.85,7384.15,1122640,828974222090000.0,91222,395926,0.3527
MARUTI,EQ,7464.85,7445.0,7450.0,7355.5,7375.0,7373.65,7395.21,454342,335995520920000.0,45067,192329,0.4233
MARUTI,EQ,7373.65,7394.6,7455.0,7335.0,7342.0,7348.95,7394.22,607567,449248137345000.0,58498,256546,0.42229999999999995
MARUTI,EQ,7348.95,7343.0,7392.45,7331.85,7352.0,7351.05,7359.55,277472,204206984515000.0,36585,116310,0.4192
MARUTI,EQ,7351.05,7348.35,7393.0,7272.15,7302.95,7312.3,7323.55,388150,284263597965000.0,44880,166096,0.4279
MARUTI,EQ,7312.3,7332.0,7360.05,7250.0,7272.0,7263.9,7284.75,547028,398496115425000.0,51164,343895,0.6287
MARUTI,EQ,7263.9,7314.0,7322.15,7235.0,7250.0,7249.25,7267.32,372747,270887269955000.03,37153,214919,0.5766
MARUTI,EQ,7249.25,7265.0,7283.65,7190.3,7207.05,7207.25,7242.38,757716,548766432195000.0,54031,513331,0.6775
MARUTI,EQ,7207.25,7220.0,7284.5,7153.3,7279.0,7268.2,7227.2,460423,332756763515000.0,46064,230633,0.5009
MARUTI,EQ,7268.2,7291.0,7352.0,7288.0,7320.0,7316.1,7326.33,436033,319452310505000.0,64237,239676,0.5497
MARUTI,EQ,7316.1,7321.25,7331.65,7205.0,7225.0,7219.15,7235.37,355854,257473578594999.97,53841,178046,0.5003
MARUTI,EQ,7219.15,7239.5,7267.2,7155.1,7175.0,7183.35,7190.3,365667,262925365690000.0,42155,177272,0.48479999999999995
